,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,State
167,Briscoe,7960594900.0,629418.34,13399600.0,480472.02,1951.0,0.0,0.0,1951.0,0.0,0.0,100.0,TX
168,Brooks,36222416000.0,2124932.0,43924205.0,1622085.5,6386.0,0.0,0.0,6386.0,0.0,0.0,100.0,TX
169,Brown TX,126519476000.0,19608354.4,299387266.0,15140196.9,42743.9997,0.0,5310.9187,37433.081,0.0,12.4,87.6,TX
170,Burleson,59541304400.0,11503014.23,168679791.5,8759311.499,24153.000350000002,956.50935,0.0,23196.491,4.0,0.0,96.0,TX
171,Burnet,148804756000.0,22601423.2,400091889.0,17287881.3,59377.0004,11657.715,9212.4434,38506.842,19.6,15.5,64.9,TX
172,Caldwell,78040699400.0,20785148.16,307947635.8,15893265.856,44035.9995,1121.107,1608.0575,41306.835,2.5,3.7,93.8,TX
173,Calhoun,144483410000.0,11423833.0,163893650.0,8720483.2,23294.0,0.0,0.0,23294.0,0.0,0.0,100.0,TX
174,Callahan,41850379000.0,8210113.6,117787570.0,6267262.3,16741.0,0.0,0.0,16741.0,0.0,0.0,100.0,TX
175,Cameron,1225032890000.0,97304686.0,2144860530.0,71992075.5,321872.996,61897.276,0.0,259975.72,19.2,0.0,80.8,TX
176,Camp,72079224160.0,5692403.4860000005,121399613.4,4338650.543,17703.99974,181.27074,0.0,17522.729,1.0,0.0,99.0,TX
177,Carson,18549060000.0,3638913.0,52206186.0,2777796.2,7420.0,0.0,0.0,7420.0,0.0,0.0,100.0,TX
178,Cass TX,135112320000.0,10667850.0,227106400.0,8143397.4,33067.0,0.0,0.0,33067.0,0.0,0.0,100.0,TX
179,Castro,20946481000.0,2546385.9,54209659.0,1943806.1,7893.0,0.0,0.0,7893.0,0.0,0.0,100.0,TX
180,Chambers,225764544700.0,18083520.05,343088294.0,13942095.35,50003.0005,2389.8276,6007.4429,41605.73,4.8,12.0,83.2,TX
181,Cherokee,201718480000.0,15926768.0,339062770.0,12157838.0,49368.0,0.0,0.0,49368.0,0.0,0.0,100.0,TX
182,Childress,24734284200.0,1962822.44,42966161.5,1461562.41,6410.00001,995.61741,0.0,5414.3826,15.5,0.0,84.5,TX
183,Clay TX,31017135200.0,5814341.739999999,88974356.8,4405514.51,12917.9997,1456.4757,0.0,11461.524,11.3,0.0,88.7,TX
184,Cochran,12021062000.0,949128.02,20205855.0,724525.21,2942.0,0.0,0.0,2942.0,0.0,0.0,100.0,TX
185,Coke,12300385000.0,1495312.2,31833494.0,1141459.7,4635.0,0.0,0.0,4635.0,0.0,0.0,100.0,TX
186,Coleman,44492637000.0,3512935.1,74786390.0,2681629.8,10889.0,0.0,0.0,10889.0,0.0,0.0,100.0,TX
187,Collin,2720516650000.0,150079002.6,5165570112.0,118396459.7,826681.0058,413188.31,408957.93,4534.7658,50.0,49.5,0.5,TX
188,Collingsworth,13360694310.0,1056932.615,22590832.27,804015.5537,3300.999987,75.892287,0.0,3225.1077,2.3,0.0,97.7,TX
189,Colorado,113511462000.0,9005115.299999999,198475881.0,6663213.33,29781.9996,5710.2516,0.0,24071.748,19.2,0.0,80.8,TX
190,Comal,424208110000.0,36888320.7,1122426900.0,29128900.3,176579.00100000002,73390.956,81741.114,21446.931,41.6,46.3,12.1,TX
191,Comanche,42697836000.0,8376365.8,120172730.0,6394172.4,17080.0,0.0,0.0,17080.0,0.0,0.0,100.0,TX
192,Concho,9134396000.0,1110434.6,23639889.0,847660.02,3442.0,0.0,0.0,3442.0,0.0,0.0,100.0,TX
193,Cooke,93462584000.0,28230511.0,405013060.0,21550008.0,57564.0,0.0,0.0,57564.0,0.0,0.0,100.0,TX
194,Coryell,240917766000.0,19078553.79,411097554.0,14409910.87,60500.9997,4165.7607,0.0,56335.239,6.9,0.0,93.1,TX
195,Cottle,4309778900.0,523923.83,11153742.0,399941.86,1624.0,0.0,0.0,1624.0,0.0,0.0,100.0,TX
196,Crane,8623094000.0,2604618.2,37367527.0,1988258.2,5311.0,0.0,0.0,5311.0,0.0,0.0,100.0,TX
197,Crockett,22917114170.0,1784675.281,38272745.8,1353650.451,5608.99997,235.45687,0.0,5373.5431,4.2,0.0,95.8,TX
198,Crosby,15009920000.0,1824700.2,38845791.0,1392900.9,5656.0,0.0,0.0,5656.0,0.0,0.0,100.0,TX
199,Culberson,6026537570.0,714015.609,15279423.2,542592.6871,2235.00001,66.52921,0.0,2168.4708,3.0,0.0,97.0,TX
200,Dallam,12989033000.0,3923356.4,56286993.0,2994928.5,8000.0,0.0,0.0,8000.0,0.0,0.0,100.0,TX
201,Dallas,13039726587000.0,285622694.8,12186824550.0,172002808.8,2123582.041,2087930.8,35651.241,0.0,98.3,1.7,0.0,TX
202,Dawson,30293181000.0,3682629.6,78398993.0,2811167.7,11415.0,0.0,0.0,11415.0,0.0,0.0,100.0,TX
203,Deaf Smith,55172601000.0,6707128.3,142787130.0,5119945.3,20790.0,0.0,0.0,20790.0,0.0,0.0,100.0,TX
204,Delta,26680846000.0,2109567.7,44910295.0,1610357.0,6539.0,0.0,0.0,6539.0,0.0,0.0,100.0,TX
205,Denton,2821426780000.0,118648710.0,4304121700.0,89488414.0,702930.0,434094.25,268835.75,0.0,61.8,38.2,0.0,TX
206,DeWitt,104152570000.0,8223410.3,175067050.0,6277412.5,25490.0,0.0,0.0,25490.0,0.0,0.0,100.0,TX
207,Dickens,11065676000.0,874926.98,18626200.0,667883.2,2712.0,0.0,0.0,2712.0,0.0,0.0,100.0,TX
208,Dimmit,31556392000.0,3836193.5,81668193.0,2928392.0,11891.0,0.0,0.0,11891.0,0.0,0.0,100.0,TX
209,Donley,9052128000.0,1100433.6,23426979.0,840025.66,3411.0,0.0,0.0,3411.0,0.0,0.0,100.0,TX
210,Duval,48006612000.0,3790382.4,80692928.0,2893421.7,11749.0,0.0,0.0,11749.0,0.0,0.0,100.0,TX
211,Eastland,73723766000.0,7325531.5,162904781.0,5375311.95,24626.9997,5866.6357,0.0,18760.364,23.8,0.0,76.2,TX
212,Ector,999016500000.0,77823214.2,1253086695.0,58966549.5,183873.9991,29539.131,7011.4681,147323.4,16.1,3.8,80.1,TX
213,Edwards,7780955500.0,945901.89,20137175.0,722062.51,2932.0,0.0,0.0,2932.0,0.0,0.0,100.0,TX
214,Ellis,586314481000.0,47211141.8,1184338200.0,35312093.6,185136.0,78009.526,31557.637,75568.837,42.1,17.0,40.8,TX
