,Fuel Type Code,Station Name,City,State,ZIP,Latitude,Longitude,ID,E85 Blender Pump,Points,County
1269,E85,West Palm Beach Service Plaza - Shell,Lake Worth,FL,33467,26.635337,-80.174704,48537,False,"(-80.174704, 26.635337)",Palm Beach
1270,E85,Fort Drum Service Plaza - Shell,Okeechobee,FL,34972,27.600423,-80.821781,48538,False,"(-80.821781, 27.600423)",Okeechobee
1271,E85,Canoe Creek Service Plaza - Shell,St. Cloud,FL,34769,28.055015,-81.225014,48539,False,"(-81.225014, 28.055015)",Osceola
1272,E85,Lenny's Gas N Wash,Mokena,IL,60448,41.543966999999995,-87.83189300000001,48545,False,"(-87.83189300000001, 41.543966999999995)",Will
1273,E85,BP,Frankfort,IN,46041,40.261973,-86.65071400000001,48550,False,"(-86.65071400000001, 40.261973)",Clinton
1274,E85,Thorntons #108,Indianapolis,IN,46219,39.770623,-86.036232,48551,True,"(-86.036232, 39.770623)",Marion
1275,E85,Thorntons #140,Indianapolis,IN,46236,39.861484999999995,-85.97380799999999,48552,True,"(-85.97380799999999, 39.861484999999995)",Marion
1276,E85,Thorntons #402,Indianapolis,IN,46224,39.780476,-86.250998,48553,True,"(-86.250998, 39.780476)",Marion
1277,E85,Thorntons #141,Plainfield,IN,46168,39.678406,-86.37043,48554,True,"(-86.37043, 39.678406)",Hendricks
1278,E85,Gulf,Charlton,MA,1507,42.155986,-71.964853,48558,False,"(-71.964853, 42.155986)",Worcester
1279,E85,Valero,Wixom,MI,48393,42.493958,-83.536446,48560,False,"(-83.536446, 42.493958)",Oakland
1280,E85,Corner Store #1070,San Antonio,TX,78254,29.52423,-98.71753199999999,48576,False,"(-98.71753199999999, 29.52423)",Bexar
1281,E85,Star Energy,Storm Lake,IA,50588,42.642532,-95.18132,48927,True,"(-95.18132, 42.642532)",Buena Vista
1282,E85,Road Ranger #207,Belvidere,IL,61008,42.273625,-88.863324,48929,False,"(-88.863324, 42.273625)",Boone
1283,E85,BP - Harvey's Corner,Country Club Hills,IL,60478,41.556425,-87.73397,48930,False,"(-87.73397, 41.556425)",Cook
1284,E85,Thorntons #122,Elk Grove Village,IL,60007,41.993051,-87.940545,48931,False,"(-87.940545, 41.993051)",DuPage
